Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6
Cinder Pinion Grasps,2066074780,"""6917529216594565639""",favorite,Legendary,Gauntlets,crucible,Hunter,1254,1410,Arc Energy Capacity,10,Hunter(1269),true,true,false,4,12,,14,8,28,16,4,16,86,0,2,6,26,14,2,14,64,0,combatstyle,,Mobility Mod*,Hand Cannon Loader*,Fastball*,Horizons Beyond*,Upgrade Armor*,Canis Luna Grips*,
Shinobu's Vow,1053737370,"""6917529199019094883""",keep,Exotic,Gauntlets,,Hunter,1050,,Void Energy Capacity,10,Hunter(1269),true,true,false,1,2,,21,5,24,17,4,15,86,0,19,3,12,15,2,13,64,0,combatstyle,,Recovery Mod*,Hand Cannon Loader*,Bolstering Detonation*,Chitin Slate*,Upgrade Armor*,New Tricks*,
Iron Will Sleeves,2295273904,"""6917529243035427021""",,Legendary,Gauntlets,ironbanner,Hunter,1250,1410,Void Energy Capacity,1,Hunter(1269),true,false,false,4,12,,9,12,12,21,7,2,63,0,9,12,12,21,7,2,63,0,combatstyle,,Iron Mossbone*,Change Energy Type*,,,,,
Iron Fellowship Grips,3671337107,"""6917529204902329152""",junk,Legendary,Gauntlets,ironbanner,Hunter,1254,1360,Solar Energy Capacity,10,Hunter(1269),true,true,false,3,11,,14,14,22,24,8,4,86,0,2,12,20,22,6,2,64,0,legacy,,Mobility Mod*,Hand Cannon Loader*,Fastball*,Darkwater Froth*,Upgrade Armor*,Lucent Night Sleeves*,
Vest of Transcendence,4177973942,"""6917529195647185056""",infuse,Legendary,Chest Armor,garden,Hunter,1251,1360,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,11,,18,4,26,16,4,16,84,0,16,2,14,14,2,14,62,0,legacy,,Recovery Mod*,Unflinching Hand Cannon Aim*,Unflinching Hand Cannon Aim*,Powerful Friends*,Carminica*,Upgrade Armor*,Empyrean Cartographer Vest*
Cinder Pinion Vest,886273156,"""6917529241651677529""",,Legendary,Chest Armor,crucible,Hunter,1254,1410,Arc Energy Capacity,4,Hunter(1269),true,false,false,4,12,,14,11,2,2,19,8,56,0,14,11,2,2,19,8,56,0,combatstyle,,Upgrade Armor*,,,,,,
Icarus Drifter Vest,1399263478,"""6917529245422607927""",,Legendary,Chest Armor,legendaryengram,Hunter,1250,1360,Void Energy Capacity,1,Hunter(1269),true,false,false,3,11,,2,2,23,6,2,17,52,0,2,2,23,6,2,17,52,0,legacy,,Change Energy Type*,,,,,,
Holdfast Vest,2930001572,"""6917529194007013254""",favorite,Legendary,Chest Armor,seasonpass,Hunter,1254,1360,Void Energy Capacity,10,Hunter(1269),true,true,false,3,11,,19,4,24,12,22,4,85,0,7,2,22,10,20,2,63,0,legacy,,Mobility Mod*,Unflinching Hand Cannon Aim*,Unflinching Hand Cannon Aim*,Temperature Wash*,Upgrade Armor*,Siegebreak Vest*,
Cinder Pinion Vest,886273156,"""6917529242233465228""",,Legendary,Chest Armor,crucible,Hunter,1250,1410,Void Energy Capacity,1,Hunter(1269),true,false,false,4,12,,8,14,6,2,25,2,57,0,8,14,6,2,25,2,57,0,combatstyle,,Change Energy Type*,,,,,,
Holdfast Vest,2930001572,"""6917529194314323626""",junk,Legendary,Chest Armor,seasonpass,Hunter,1050,1360,Void Energy Capacity,9,Hunter(1269),true,false,false,3,11,,6,7,18,10,16,6,63,0,6,7,18,10,16,6,63,0,legacy,,Upgrade Armor*,,,,,,
Holdfast Vest,2930001572,"""6917529204255555919""",junk,Legendary,Chest Armor,seasonpass,Hunter,1050,1360,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,11,,14,8,23,21,8,4,78,0,2,6,21,19,6,2,56,0,legacy,,Mobility Mod*,Unflinching Hand Cannon Aim*,Unflinching Hand Cannon Aim*,Powerful Friends*,Calus's Treasured*,Upgrade Armor*,Virulent Vest*
Anti-Extinction Vest,3304105970,"""6917529181965094002""",junk,Legendary,Chest Armor,do,Hunter,1060,1310,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,10,,21,4,24,16,9,12,86,0,19,2,12,14,7,10,64,0,legacy,,Recovery Mod*,Unflinching Pulse Rifle Aim*,Radiant Light*,Midnight Exigent*,Upgrade Armor*,Virulent Vest*,
Mythos Hack 4.1,747210772,"""6917529245685765222""",,Rare,Chest Armor,,Hunter,1250,,Void Energy Capacity,5,Hunter(1269),true,false,false,2,4,,17,2,7,6,6,12,50,0,17,2,7,6,6,12,50,0,,,Metallic Sunrise*,Upgrade Armor*,,,,,
Holdfast Strides,3136019014,"""6917529203441099097""",junk,Legendary,Leg Armor,seasonpass,Hunter,1250,1360,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,11,,20,9,17,23,4,8,81,0,8,7,15,21,2,6,59,0,legacy,,Mobility Mod*,Shotgun Scavenger*,Shotgun Scavenger*,Taking Charge*,Oiled Gunmetal*,Upgrade Armor*,Canis Luna Strides*
Fr0st-EE5,609852545,"""6917529203830361658""",,Exotic,Leg Armor,,Hunter,1250,,Arc Energy Capacity,10,Hunter(1269),true,true,false,1,3,,11,4,30,11,10,14,80,0,9,2,23,9,8,12,63,0,combatstyle,,Minor Recovery Mod*,Sniper Rifle Scavenger*,Powerful Friends*,Iron Vendetta*,Upgrade Armor*,Rapid Cooldown*,
War Mantis,2745108287,"""6917529245685766143""",,Rare,Leg Armor,,Hunter,1250,,Void Energy Capacity,5,Hunter(1269),true,false,false,2,4,,6,12,7,11,10,2,48,0,6,12,7,11,10,2,48,0,,,Upgrade Armor*,,,,,,
Moonfang-X7 Strides,2487240821,"""6917529202951643549""",junk,Legendary,Leg Armor,prophecy,Hunter,1059,1360,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,11,,11,16,10,27,11,8,83,0,9,14,8,15,9,6,61,0,legacy,,Discipline Mod*,Shotgun Scavenger*,Radiant Light*,Temperature Wash*,Upgrade Armor*,,
Icarus Drifter Legs,4064910796,"""6917529238560043041""",,Legendary,Leg Armor,legendaryengram,Hunter,1251,1360,Arc Energy Capacity,1,Hunter(1269),true,true,false,3,11,,2,16,9,25,2,2,56,0,2,16,9,25,2,2,56,0,legacy,,Change Energy Type*,,,,,,
Ancient Apocalypse Strides,2451538755,"""6917529138155154450""",favorite,Legendary,Leg Armor,drifter,Hunter,1254,1260,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,9,,14,4,26,8,14,14,80,0,2,2,24,6,12,12,58,0,legacy,,Mobility Mod*,Shotgun Scavenger*,Shotgun Scavenger*,Radiant Light*,Horizons Beyond*,Upgrade Armor*,Siegebreak Strides*
Iron Remembrance Strides,3600816955,"""6917529172350958250""",,Legendary,Leg Armor,ironbanner,Hunter,1249,1310,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,10,,13,4,29,9,9,18,82,0,11,2,17,7,7,16,60,0,legacy,,Recovery Mod*,Shotgun Scavenger*,Shotgun Scavenger*,Valkyrie Zero*,Upgrade Armor*,Luxe Riders*,
Seventh Seraph Strides,1151338093,"""6917529245597241063""",,Legendary,Leg Armor,seasonpass,Hunter,1254,1310,Arc Energy Capacity,3,Hunter(1269),true,false,false,3,10,,7,12,6,13,2,10,50,0,7,12,6,13,2,10,50,0,legacy,,Upgrade Armor*,,,,,,
Phobos Warden Cloak,4006721630,"""6917529245429799742""",,Legendary,Hunter Cloak,strikes,Hunter,1256,1410,Solar Energy Capacity,3,Hunter(1269),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,
Binary Phoenix Cloak,87665893,"""6917529177293517505""",favorite,Legendary,Hunter Cloak,crucible,Hunter,1250,1310,Arc Energy Capacity,10,Hunter(1269),true,true,false,3,10,,12,2,2,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Mobility Mod*,Thermal Overload*,Radiant Light*,Amethyst Veil*,Upgrade Armor*,Empyrean Cartographer Cloak*,
Cloak of Temptation,2861892194,"""6917529239881137658""",,Legendary,Hunter Cloak,garden,Hunter,1250,1410,Arc Energy Capacity,1,Hunter(1269),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"combatstyle,gardenofsalvation",,Change Energy Type*,,,,,,
Bladesmith's Memory Cloak,2750983488,"""6917529198773655447""",favorite,Legendary,Hunter Cloak,scourge,Hunter,1252,1360,Void Energy Capacity,10,Hunter(1269),true,true,false,3,11,,12,2,2,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Mobility Mod*,Special Finisher*,Unstoppable Schwarzschild Condensor*,Warmind's Protection*,Oiled Gunmetal*,Upgrade Armor*,Siegebreak Cloak*
Legacy's Oath Cloak,1021060724,"""6917529239036043195""",,Legendary,Hunter Cloak,deepstonecrypt,Hunter,1254,1410,Arc Energy Capacity,1,Hunter(1269),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"combatstyle,deepstonecrypt",,Change Energy Type*,,,,,,
Seventh Seraph Cloak,3346592680,"""6917529193240268165""",favorite,Legendary,Hunter Cloak,seasonpass,Hunter,1250,1310,Solar Energy Capacity,10,Hunter(1269),true,true,false,3,10,,12,2,2,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Mobility Mod*,Surge Eater*,Spoils of War*,Horizon Blush*,Upgrade Armor*,Empyrean Cartographer Cloak*,
War Mantis,4155348771,"""6917529246154795896""",,Rare,Chest Armor,,Hunter,1250,,Arc Energy Capacity,5,Hunter(1269),true,false,false,2,4,,6,2,16,17,2,7,50,0,6,2,16,17,2,7,50,0,,,Upgrade Armor*,,,,,,
Wild Hunt Mask,4079117607,"""6917529246149667817""",,Legendary,Helmet,seasonpass,Hunter,1254,1410,Arc Energy Capacity,6,Hunter(1269),true,false,true,4,12,,7,6,20,6,20,7,66,0,7,6,20,6,20,7,66,0,combatstyle,,Upgrade Armor*,,,,,,
Wild Hunt Grasps,2025716654,"""6917529246149667905""",,Legendary,Gauntlets,seasonpass,Hunter,1254,1410,Arc Energy Capacity,6,Hunter(1269),true,false,true,4,12,,9,6,18,2,19,12,66,0,9,6,18,2,19,12,66,0,combatstyle,,Upgrade Armor*,,,,,,
Wild Hunt Vest,1458739906,"""6917529246159621621""",,Legendary,Chest Armor,seasonpass,Hunter,1254,1410,Arc Energy Capacity,6,Hunter(1269),true,false,true,4,12,,9,18,6,8,19,6,66,0,9,18,6,8,19,6,66,0,combatstyle,,Upgrade Armor*,,,,,,
Wild Hunt Strides,238284968,"""6917529246149666914""",,Legendary,Leg Armor,seasonpass,Hunter,1254,1410,Arc Energy Capacity,6,Hunter(1269),true,false,true,4,12,,10,16,6,6,20,7,65,0,10,16,6,6,20,7,65,0,combatstyle,,Upgrade Armor*,,,,,,
Wild Hunt Cloak,1148770067,"""6917529246154798918""",,Legendary,Hunter Cloak,seasonpass,Hunter,1254,1410,Arc Energy Capacity,6,Hunter(1269),true,false,true,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,
An Insurmountable Skullfort,3216110440,"""6917529186423238959""",favorite,Exotic,Helmet,,Titan,1050,,Arc Energy Capacity,9,Titan(1239),true,true,false,1,1,,20,13,12,15,2,11,73,26,20,3,12,15,2,11,63,26,combatstyle,,Resilience Mod*,Sword Ammo Finder*,Sword Ammo Finder*,Upgrade Armor*,Transfusion Matrix*,,
Kerak Type 2,1091190365,"""6917529244771910369""",,Legendary,Helmet,legendaryengram,Titan,1250,1410,Void Energy Capacity,2,Titan(1239),true,false,false,4,12,,6,6,14,18,7,2,53,22,6,6,14,18,7,2,53,22,combatstyle,,Upgrade Armor*,,,,,,
Primal Siege Type 1,4166795065,"""6917529244739222274""",,Rare,Helmet,,Titan,1250,,Arc Energy Capacity,5,Titan(1239),true,false,false,2,4,,12,6,6,12,2,12,50,24,12,6,6,12,2,12,50,24,,,Upgrade Armor*,,,,,,
RPC Valiant,2994740249,"""6917529244744475483""",,Rare,Helmet,,Titan,1250,,Solar Energy Capacity,5,Titan(1239),true,false,false,2,4,,2,7,16,16,2,6,49,29,2,7,16,16,2,6,49,29,,,Upgrade Armor*,,,,,,
Legion-Bane,4069941456,"""6917529244861909235""",,Rare,Helmet,,Titan,1250,,Void Energy Capacity,5,Titan(1239),true,false,false,2,4,,6,17,2,12,6,7,50,26,6,17,2,12,6,7,50,26,,,Upgrade Armor*,,,,,,
Crystocrene Helm,903627726,"""6917529244758549397""",,Legendary,Helmet,europa,Titan,1254,1410,Void Energy Capacity,3,Titan(1239),true,false,false,4,12,,8,7,10,6,12,6,49,23,8,7,10,6,12,6,49,23,combatstyle,,Upgrade Armor*,,,,,,
Legacy's Oath Helm,3015085684,"""6917529245002692731""",,Legendary,Helmet,deepstonecrypt,Titan,1255,1410,Solar Energy Capacity,4,Titan(1239),true,false,false,4,12,,10,13,8,14,2,12,59,33,10,13,8,14,2,12,59,33,"combatstyle,deepstonecrypt",,Upgrade Armor*,,,,,,
Doom Fang Pauldron,241462141,"""6917529203147540219""",favorite,Exotic,Gauntlets,,Titan,1245,,Void Energy Capacity,10,Titan(1239),true,true,false,1,1,,9,5,24,9,4,32,83,45,7,3,22,7,2,20,61,45,combatstyle,,Strength Mod*,Shotgun Dexterity*,Submachine Gun Loader*,Amethyst Veil*,Upgrade Armor*,Embodiment of the Warbeast*,Horns of Doom*
Synthoceps,241462142,"""6917529194012051890""",keep,Exotic,Gauntlets,,Titan,1058,,Solar Energy Capacity,10,Titan(1239),true,true,false,1,1,,4,23,22,16,15,4,84,33,2,11,20,14,13,2,62,33,combatstyle,,Resilience Mod*,Submachine Gun Loader*,Fastball*,Metro Shift*,Upgrade Armor*,~flex enhance replicate~*,Biotic Enhancements*
Legacy's Oath Gauntlets,1887490701,"""6917529244924538389""",,Legendary,Gauntlets,deepstonecrypt,Titan,1255,1410,Arc Energy Capacity,3,Titan(1239),true,false,false,4,12,,8,14,7,11,2,17,59,38,8,14,7,11,2,17,59,38,"combatstyle,deepstonecrypt",,Upgrade Armor*,,,,,,
Primal Siege Type 1,4062934448,"""6917529245042006991""",,Rare,Gauntlets,,Titan,1250,,Arc Energy Capacity,5,Titan(1239),true,false,false,2,4,,10,6,6,23,2,2,49,14,10,6,6,23,2,2,49,14,,,Upgrade Armor*,,,,,,
Crystocrene Plate,1208040825,"""6917529244734455307""",,Legendary,Chest Armor,europa,Titan,1250,1410,Solar Energy Capacity,1,Titan(1239),true,false,false,4,12,,22,2,2,13,2,10,51,14,22,2,2,13,2,10,51,14,combatstyle,,Change Energy Type*,,,,,,
Legion-Bane,1775818231,"""6917529244727250816""",,Rare,Chest Armor,,Titan,1250,,Void Energy Capacity,5,Titan(1239),true,false,false,2,4,,10,2,10,12,2,12,48,24,10,2,10,12,2,12,48,24,,,Upgrade Armor*,,,,,,
Hardcase Battleplate,201644247,"""6917529244730481016""",,Rare,Chest Armor,,Titan,1250,,Solar Energy Capacity,5,Titan(1239),true,false,false,2,4,,10,2,10,6,2,17,47,29,10,2,10,6,2,17,47,29,,,Upgrade Armor*,,,,,,
Simulator Plate,2005525978,"""6917529245022234501""",,Legendary,Chest Armor,fwc,Titan,1250,1310,Void Energy Capacity,3,Titan(1239),true,false,false,3,10,,16,8,2,6,9,12,53,22,16,8,2,6,9,12,53,22,legacy,,Upgrade Armor*,,,,,,
Phobos Warden Plate,2072548445,"""6917529236879672453""",,Legendary,Chest Armor,strikes,Titan,1248,1410,Arc Energy Capacity,2,Titan(1239),true,true,false,4,12,,2,16,15,8,19,2,62,33,2,16,15,8,19,2,62,33,combatstyle,,Upgrade Armor*,,,,,,
Anti-Extinction Plate,1557512974,"""6917529245048249534""",,Legendary,Chest Armor,do,Titan,1253,1310,Solar Energy Capacity,2,Titan(1239),true,false,false,3,10,,2,7,18,12,6,8,53,33,2,7,18,12,6,8,53,33,legacy,,Upgrade Armor*,,,,,,
Terra Concord Greaves,1063507982,"""6917529242442849121""",,Legendary,Leg Armor,legendaryengram,Titan,1250,1360,Arc Energy Capacity,2,Titan(1239),true,false,false,3,11,,11,11,2,8,19,2,53,15,11,11,2,8,19,2,53,15,legacy,,Upgrade Armor*,,,,,,
Lion Rampant,3539357318,"""6917529203937931190""",,Exotic,Leg Armor,,Titan,1059,,Solar Energy Capacity,2,Titan(1239),true,true,false,1,1,,2,24,7,8,2,20,63,51,2,24,7,8,2,20,63,51,combatstyle,,Upgrade Armor*,Jump Jets*,,,,,
Legacy's Oath Greaves,2558289743,"""6917529242453403895""",,Legendary,Leg Armor,deepstonecrypt,Titan,1252,1410,Solar Energy Capacity,1,Titan(1239),true,false,false,4,12,,12,10,10,11,10,10,63,30,12,10,10,11,10,10,63,30,"combatstyle,deepstonecrypt",,Change Energy Type*,,,,,,
Peregrine Greaves,2255796155,"""6917529244753308460""",,Exotic,Leg Armor,,Titan,1252,,Void Energy Capacity,1,Titan(1239),true,false,false,2,7,,9,10,16,9,22,2,68,28,9,10,16,9,22,2,68,28,combatstyle,,Change Energy Type*,Peregrine Strike*,,,,,
Hardcase Stompers,2362809459,"""6917529244767028505""",,Rare,Leg Armor,,Titan,1250,,Solar Energy Capacity,5,Titan(1239),true,false,false,2,4,,12,2,12,6,2,16,50,30,12,2,12,6,2,16,50,30,,,Upgrade Armor*,,,,,,
Legion-Bane,643145875,"""6917529244767026463""",,Rare,Leg Armor,,Titan,1250,,Arc Energy Capacity,5,Titan(1239),true,false,false,2,4,,6,2,17,17,6,2,50,21,6,2,17,17,6,2,50,21,,,Upgrade Armor*,,,,,,
Primal Siege Type 1,126602378,"""6917529244821071701""",,Rare,Leg Armor,,Titan,1250,,Void Energy Capacity,5,Titan(1239),true,false,false,2,4,,12,6,8,6,2,17,51,31,12,6,8,6,2,17,51,31,,,Upgrade Armor*,,,,,,
Kerak Type 2,623912054,"""6917529244771909442""",,Legendary,Leg Armor,legendaryengram,Titan,1250,1410,Solar Energy Capacity,5,Titan(1239),true,false,false,4,12,,7,11,9,6,13,7,53,27,7,11,9,6,13,7,53,27,combatstyle,,Upgrade Armor*,,,,,,
Mark of the Unassailable,3207244009,"""6917529244776499868""",,Legendary,Titan Mark,legendaryengram,Titan,1253,1410,Solar Energy Capacity,1,Titan(1239),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,
Wild Hunt Mark,2279193565,"""6917529244739224531""",,Legendary,Titan Mark,seasonpass,Titan,1250,1410,Arc Energy Capacity,3,Titan(1239),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,
Legacy's Oath Mark,2956588906,"""6917529242433100953""",,Legendary,Titan Mark,deepstonecrypt,Titan,1252,1410,Void Energy Capacity,3,Titan(1239),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"combatstyle,deepstonecrypt",,Upgrade Armor*,,,,,,
Mark of Remembrance,2310625418,"""6917529179338271462""",favorite,Legendary,Titan Mark,ironbanner,Titan,1050,1310,Solar Energy Capacity,9,Titan(1239),true,true,false,3,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legacy,,Wrath of Rasputin*,Iron Precious*,Upgrade Armor*,,,,
Moonfang-X7 Mark,3242850062,"""6917529203538705898""",favorite,Legendary,Titan Mark,prophecy,Titan,1060,1360,Void Energy Capacity,10,Titan(1239),true,false,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,legacy,,Upgrade Armor*,,,,,,
Helm of the Great Hunt,4219088013,"""6917529194477455132""",junk,Legendary,Helmet,lastwish,Titan,1246,1360,Void Energy Capacity,10,Titan(1239),true,false,true,3,11,,11,4,32,16,10,8,81,28,9,2,20,14,8,6,59,28,legacy,,Recovery Mod*,Sword Ammo Finder*,Sword Ammo Finder*,Midnight Smith*,Upgrade Armor*,Forbidden Visage Helm*,
Holdfast Gauntlets,287888126,"""6917529196057873205""",junk,Legendary,Gauntlets,seasonpass,Titan,1247,1360,Void Energy Capacity,9,Titan(1239),true,true,true,3,11,,7,16,16,13,2,16,70,38,7,6,16,13,2,16,60,38,legacy,,Resilience Mod*,Submachine Gun Loader*,Taking Charge*,Bright Warning*,Upgrade Armor*,Forbidden Visage Gauntlets*,
Actium War Rig,1591207518,"""6917529184391911125""",,Exotic,Chest Armor,,Titan,1246,,Arc Energy Capacity,9,Titan(1239),true,true,true,1,1,,8,23,3,8,16,17,75,33,8,23,3,8,16,7,65,33,combatstyle,,Strength Mod*,Machine Gun Reserves*,Machine Gun Reserves*,Carminica*,Upgrade Armor*,Auto-Loading Link*,
Greaves of the Great Hunt,3874578566,"""6917529189774817798""",junk,Legendary,Leg Armor,lastwish,Titan,1247,1360,Void Energy Capacity,10,Titan(1239),true,false,true,3,11,,8,26,12,24,4,8,82,30,6,14,10,22,2,6,60,30,legacy,,Resilience Mod*,Sword Scavenger*,Sword Scavenger*,Global Reach*,Bright Warning*,Upgrade Armor*,Forbidden Visage Greaves*
Mark of the Great Hunt,16387641,"""6917529187343882741""",favorite,Legendary,Titan Mark,lastwish,Titan,1246,1360,Arc Energy Capacity,10,Titan(1239),true,true,true,3,11,,2,12,2,2,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Resilience Mod*,Outreach*,High-Energy Fire*,Cryptic Insignia*,Upgrade Armor*,Lucent Night Mark*,
Seventh Seraph Bond,3246983801,"""6917529193245355106""",favorite,Legendary,Warlock Bond,seasonpass,Warlock,1050,1310,Void Energy Capacity,10,Warlock(1218),true,true,false,3,10,,12,2,2,2,2,0,20,0,0,0,0,0,0,0,0,0,legacy,,Mobility Mod*,Distribution*,Precision Charge*,Clouds at Sea*,Upgrade Armor*,,
Bond of the Great Hunt,2280287728,"""6917529188101131807""",favorite,Legendary,Warlock Bond,lastwish,Warlock,1059,1360,Solar Energy Capacity,10,Warlock(1218),true,true,false,3,11,,2,2,2,12,2,2,22,0,0,0,0,0,0,0,0,0,legacy,,Discipline Mod*,Bomber*,Rage of the Warmind*,Dreaming Spectrum*,Upgrade Armor*,,
Legacy's Oath Bond,2902277629,"""6917529238923776611""",,Legendary,Warlock Bond,deepstonecrypt,Warlock,1239,1410,Arc Energy Capacity,2,Warlock(1218),true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"combatstyle,deepstonecrypt",,Upgrade Armor*,,,,,,
Iron Remembrance Hood,2758933481,"""6917529187207727240""",junk,Legendary,Helmet,ironbanner,Warlock,1202,1310,Void Energy Capacity,10,Warlock(1218),true,false,true,3,10,,17,8,21,14,12,12,84,31,15,6,9,12,10,10,62,31,legacy,,Recovery Mod*,Sword Ammo Finder*,Sword Ammo Finder*,New Age Black Armory*,Upgrade Armor*,Blood Lineage Cover*,
Iron Remembrance Gloves,167461728,"""6917529170812175802""",junk,Legendary,Gauntlets,ironbanner,Warlock,1199,1310,Void Energy Capacity,10,Warlock(1218),true,true,true,3,10,,9,9,27,23,4,8,80,42,7,7,15,21,2,6,58,42,legacy,,Recovery Mod*,Submachine Gun Loader*,Global Reach*,Midnight Smith*,Upgrade Armor*,Luxe Gloves*,
